lagday0,lagday1,lagday2,lagday3,lagday4,lagday5,lagday6,lagday7,lagday8,lagday9,lagday10,lagday11,lagday12,lagday13,lagday14,lagday15,lagday16,lagday17,lagday18,lagday19,lagday20,lagday21,lagday22,lagday23,lagday24,lagday25,lagday26,lagday27,lagday28,lagday29,lagday30,lagday31,lagday32,lagday33,lagday34,lagday35,lagday36,lagday37,lagday38,lagday39,lagday40,lagday41,lagday42,lagday43,lagday44,lagday45,lagday46,lagday47,lagday48,lagday49,lagday50,lagday51,lagday52,lagday53,lagday54,lagday55,lagday56,lagday57,lagday58,lagday59,lagday60
48.592,29.465,44.212,52.78100000000001,46.143,38.612,41.08600000000001,40.282,27.645,29.865,50.434,39.276,30.714,51.309,37.31,40.062,39.181,46.99,37.712,34.485,35.499,35.335,30.957,35.437,38.058,30.296,36.527,34.588,30.893,30.715,28.311,35.38,26.073,28.441,31.923,35.154,32.115,16.617,22.493,17.0,19.98,26.339,33.244,22.661,18.338,23.725,21.772,27.531,31.088,22.958,22.468000000000004,22.1,28.743,32.879,33.36,30.507,33.83,17.079,5.101,11.577,16.72
57.208,49.251000000000005,49.254,41.423,68.53699999999999,61.723,66.414,56.3,55.52,55.665,67.095,60.682,57.265,54.354,46.738,44.719,57.842,58.733,59.78,51.477,54.822,57.357,51.434,51.225,51.057,49.219,53.682,57.496,58.114,53.231,62.18600000000001,63.918,64.773,54.087,51.764,53.767,58.83600000000001,60.306,53.825,56.1,53.681,58.901,58.745,54.262,54.613,55.07,57.022,59.839,49.44,50.03,52.28100000000001,58.462,53.702,49.62,54.433,52.652,51.017,51.918,55.468,50.663,52.477
57.208,49.251000000000005,49.254,41.423,68.53699999999999,61.723,66.414,56.3,55.52,55.665,67.095,60.682,57.265,54.354,46.738,44.719,57.842,58.733,59.78,51.477,54.822,57.357,51.434,51.225,51.057,49.219,53.682,57.496,58.114,53.231,62.18600000000001,63.918,64.773,54.087,51.764,53.767,58.83600000000001,60.306,53.825,56.1,53.681,58.901,58.745,54.262,54.613,55.07,57.022,59.839,49.44,50.03,52.28100000000001,58.462,53.702,49.62,54.433,52.652,51.017,51.918,55.468,50.663,52.477
57.208,49.251000000000005,49.254,41.423,68.53699999999999,61.723,66.414,56.3,55.52,55.665,67.095,60.682,57.265,54.354,46.738,44.719,57.842,58.733,59.78,51.477,54.822,57.357,51.434,51.225,51.057,49.219,53.682,57.496,58.114,53.231,62.18600000000001,63.918,64.773,54.087,51.764,53.767,58.83600000000001,60.306,53.825,56.1,53.681,58.901,58.745,54.262,54.613,55.07,57.022,59.839,49.44,50.03,52.28100000000001,58.462,53.702,49.62,54.433,52.652,51.017,51.918,55.468,50.663,52.477
42.54,25.614,24.892,66.827,61.872,62.147,49.216,59.952,60.33,62.827,52.348,57.701,42.505,22.871,40.856,44.412,59.715,49.48,44.37,40.186,46.316,52.396,42.51300000000001,34.644,39.781,37.508,29.896,36.99800000000001,25.885,30.304,35.2,52.74800000000001,52.053,55.738,47.25,52.715,52.129,46.528,47.68600000000001,48.319,51.01300000000001,41.522,53.323,54.99100000000001,49.625,32.783,31.985,45.197,43.864,33.891,38.999,51.044,56.306,59.879,59.611,53.201,45.291,56.565,60.831,47.852,49.31800000000001
42.54,25.614,24.892,66.827,49.65,49.236,51.941,49.272,55.48,58.122,51.365,52.875,34.296,32.963,36.162,44.978,55.808,68.422,65.902,56.127,60.514,63.812,56.105,57.702,35.69300000000001,51.185,52.727,42.396,49.093999999999994,60.885,58.749,52.389,54.288,43.723,59.44600000000001,62.606,62.644,66.416,65.805,57.912,58.63399999999999,59.06800000000001,59.332,49.813,54.76,56.956,60.765,56.703,47.414,48.226000000000006,50.294,42.702,48.587,41.428,45.701,48.188,60.646,62.212,65.105,57.709,66.62100000000001
42.54,25.614,24.892,66.827,78.771,56.349,32.368,44.283,46.823,50.381,64.385,54.81399999999999,42.505,22.871,40.856,48.75100000000001,45.57100000000001,59.326,42.822,28.102,38.393,40.928,31.986,34.499,29.639,23.222,30.21,38.634,31.71,31.634,41.87300000000001,39.99800000000001,41.903,36.15,45.42,47.729,49.027,43.03100000000001,18.85,38.32,27.257,36.98,36.188,45.335,25.859,22.5,24.875,40.618,39.362,33.484,38.154,48.797,32.921,33.367,41.315,47.361,44.125,38.78,46.162,47.194,49.233
42.54,25.614,24.892,66.827,32.349000000000004,37.652,37.547,34.199,29.437,34.272,33.944,38.658,34.296,32.963,36.162,38.079,40.366,42.456,43.093,42.496,62.202,62.178000000000004,59.193000000000005,43.715,54.067,52.431000000000004,58.583999999999996,60.87,49.093999999999994,41.731,36.65,40.88800000000001,36.387,39.149,43.528,42.393,41.724,45.106,57.727,44.112,41.092,50.99100000000001,46.173,40.036,42.344,40.802,42.724,39.925,41.929,39.219,39.285,44.411,33.417,28.235,26.665,27.365,27.144,38.857,43.201,49.23,42.041
42.54,25.614,24.892,66.827,65.238,50.525,49.992,56.067,70.096,65.433,66.55199999999999,68.32600000000001,34.296,32.963,36.162,52.25899999999999,60.549,65.237,72.11,64.443,61.302,56.953,51.895,55.515,55.934,43.618,42.528999999999996,57.466,45.044,51.92100000000001,49.487,44.599,61.67,57.004,54.98,67.805,65.488,60.394,60.94600000000001,58.069,57.392,50.99100000000001,63.234,62.423,56.272,59.485,65.307,59.267,54.183,55.007,60.533,58.819,63.664,53.09,44.787,44.11,45.637,60.01,61.486,62.617,60.173
42.54,25.614,24.892,66.827,50.28,53.37600000000001,58.32,56.972,49.81800000000001,43.088,46.851000000000006,64.14699999999999,34.296,32.963,36.162,47.124,57.327,72.405,67.65100000000001,58.663,55.239,51.914,53.38800000000001,60.309,50.967,38.91,38.701,56.163999999999994,41.933,63.581,55.142,52.403,54.0,49.617,65.158,66.982,62.03100000000001,60.966,59.374,57.784,52.977,47.802,61.143,57.955,54.697,60.469,58.945,55.629,49.356,49.797,53.221,58.95399999999999,63.425,55.25,43.78100000000001,44.848,53.918,63.536,60.737,60.824,60.486
